asset_tag_,serial_,description,quantity,location,price,has_purchase_order,has_supplier_info,lifespan_days,estimated_useful_life_days,asset_current_age_days,linear_depreciation_rate,stagnation_time_days,depreciation_pct,days_to_service,has_been_transferred,price_per_unit,is_high_value,category_encoded,condition_encoded,dept_ALL,dept_AMP,dept_AUTO,dept_AUTO-COL,dept_AUTO-OPE,dept_AUTOMATION,dept_CAD,dept_CDL,dept_CONST,dept_DMC,dept_ELEC-ENG,dept_Electrical,dept_GIS,dept_HONDA,dept_HVAC,dept_LEED,dept_MACHINIST,dept_Maintenance,dept_PLUM,dept_SEMI,dept_WELD,campus_Dobie,campus_Lockhart,campus_Lockhart Correctional,campus_Northridge,campus_Riverside,campus_Round Rock,campus_San Marcos,campus_Smithville,campus_TOOF,target_needs_repair
101716,QDCM23A13731,Shipping Container,4,Shipping Container,6813.06,1,1,,1825,591,3.733183561643836,-1,32.38356164383562,19,0,1703.265,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87493,SN-487022,A/C Heat Pump - Furnace Trainer (Part 1),1,Shipping Container,10586.16,0,0,,1825,617,5.800635616438356,-1,33.8082191780822,14,0,10586.16,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87488,SN-378497,A/C - Furnace Trainer (Part 2),1,Shipping Container,14445.22,0,0,,1825,96,7.91518904109589,-1,5.26027397260274,21,0,14445.22,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87487,SN-119154,A/C - Furnace Trainer (Part 1),1,Shipping Container,9115.27,0,0,,1825,501,4.9946684931506855,-1,27.452054794520546,15,0,9115.27,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GEN-550463,SN-731680,HVAC Component Boxes,8,Shipping Container,16649.39,1,0,,183,958,90.98027322404371,-1,523.4972677595629,21,0,2081.17375,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GEN-316109,SN-100106,Handheld Tool Boxes,2,Shipping Container,16629.39,0,0,,1095,842,15.186657534246574,-1,76.89497716894978,21,0,8314.695,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GEN-826920,SN-132442,Electrical Trainers,5,Shipping Container,21934.72,0,0,,1825,1731,12.019024657534247,-1,94.84931506849314,20,0,4386.944,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GEN-554249,SN-285678,Brazing Table Trainer,1,Shipping Container,15668.19,0,0,,1825,2442,8.585309589041096,-1,133.8082191780822,18,0,15668.19,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GEN-271511,E153412761,A/C Heat Pump - Furnace Trainer (Part 2),1,Shipping Container,19241.01,0,0,,1825,837,10.54301917808219,-1,45.86301369863014,10,0,19241.01,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102871,SN-188568,Dewalt Air Compressor,1,Building,16041.37,1,1,,1095,531,14.64965296803653,-1,48.49315068493151,17,0,16041.37,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101709,,Westward Rolling Tool Cabinet (Boxed),1,Building,10775.24,1,1,,1825,570,5.904241095890411,-1,31.232876712328768,13,0,10775.24,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102844,,Westward Rolling Tool Cabinet (Boxed),1,Building,6085.87,0,0,,1825,421,3.334723287671233,-1,23.068493150684933,20,0,6085.87,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
